y_real,prob_fraude,pred_threshold_0.5
0,8.145595514370736e-14,0
0,1.4844804388604947e-18,0
0,7.656973667551326e-09,0
0,2.875201770994016e-07,0
0,0.013024326679081944,0
0,7.30228638970307e-18,0
0,8.821237193581999e-21,0
0,7.059786148491737e-18,0
0,8.029932946800683e-20,0
0,6.35275107269301e-11,0
0,2.9899355497147844e-20,0
0,1.3774620166432117e-07,0
0,1.9043199765205233e-18,0
0,7.64253141116331e-06,0
0,6.042835864660508e-07,0
0,1.034423965376332e-05,0
0,4.452370622446819e-09,0
0,6.115047968652853e-22,0
0,8.996989745039132e-16,0
0,1.478884608763316e-22,0
0,4.3948474270884405e-16,0
0,9.885888550253807e-18,0
0,9.123158786109084e-09,0
0,1.219957282424518e-22,0
0,1.368000481780343e-14,0
0,1.0766272352612234e-14,0
0,7.46022606101946e-17,0
0,3.738346498704373e-07,0
0,4.416338158389212e-13,0
0,1.5000517080498643e-15,0
0,9.204790986926887e-16,0
0,2.559756230790821e-14,0
0,3.1092514639818374e-13,0
0,7.906665179355241e-18,0
0,5.70044843976113e-12,0
0,7.739094079833805e-13,0
0,3.1116201382999597e-13,0
0,9.463421798872825e-07,0
0,6.120419761378622e-13,0
0,7.235861733675951e-16,0
0,1.788107656072835e-18,0
0,2.031830332739316e-13,0
0,9.724432839980742e-09,0
0,0.0002088333008391162,0
0,6.491930059920913e-05,0
0,6.331456089169371e-23,0
0,1.6087998178708349e-15,0
0,1.025761989658913e-20,0
0,1.148911985504839e-11,0
0,1.7840612979439754e-16,0
0,6.226878124947657e-19,0
0,7.832202455172925e-17,0
0,4.2358675213134254e-15,0
0,4.06169945137875e-16,0
0,5.538934906429517e-20,0
0,2.2185253147278594e-18,0
0,2.9336901417514958e-15,0
0,2.6539738388371645e-23,0
0,2.8244167426831815e-16,0
0,2.2282028299523923e-15,0
0,2.0900305114995582e-22,0
0,2.6584920687066015e-16,0
0,1.831178303078106e-11,0
0,1.227864718475899e-14,0
0,9.328888801748294e-17,0
0,3.677154867462237e-14,0
0,2.789666016628426e-20,0
0,4.659913467445175e-21,0
0,6.613644090122381e-13,0
0,8.014290796278092e-16,0
0,6.224056105032874e-20,0
0,7.320785707770687e-25,0
0,3.914398942231678e-23,0
0,6.254181364985016e-10,0
0,1.472948194362012e-13,0
0,4.291665816071127e-19,0
0,1.317864207649161e-09,0
0,1.0664421578214831e-08,0
0,3.459109171724441e-14,0
0,6.612257603207379e-18,0
0,1.559616149082589e-20,0
0,1.2957418217195347e-08,0
0,3.257682815327312e-18,0
